"Attempt.ID","Location.ID","Latitude","Longitude","Subnational.Code","Substrate.Relationship","Substrate","Substrate.Other.Description","Height.m","Cavity.Entrance.Diameter.cm","Entrance.Orientation","Elevation.m","Habitat.1m","Habitat.100m","Location.Entry.Technique","Observer.ID","Species.Code","Species.Name","Year","Predator.Guard","Predator.Guard.Other","First.Lay.Date","First.Lay.Date.Estimated","Visited.During.Egg.Laying","Hatch.Date","Hatch.Date.Estimated","Fledge.Date","Fledge.Date.Estimated","Young.Fledged","Clutch.Size","Young.Total","Unhatched.Eggs","Outcome","Attempt.Entry.Technique"
"A1335135","L8391142",43.4610487,-79.7075844,"CA-ON","on","ltrbra","",2,NA,"",0,"","","NestWatch Mobile App v1.2.4","obsr1174750","amerob","American Robin",2019,"","","",NA,NA,"",NA,"",NA,NA,NA,NA,NA,"","NestWatch Mobile App v1.2.4"
"A1339895","L8937497",32.882146,-95.64324,"US-TX","on","ltrbra","",20,NA,"",124.6632,"","","NestWatch Mobile App v1.2.5","obsr343316","amerob","American Robin",2019,"","","",NA,NA,"",NA,"",NA,NA,NA,NA,NA,"u3","NestWatch Mobile App v1.2.5"
"A1339476","L8922508",45.447605,-75.469444,"CA-ON","on","ltrbra","",1,NA,"",NA,"ry","ry","/GOOGLE_MAP/ZOOM:17","obsr1303720","amerob","American Robin",2019,"","","",NA,NA,"",NA,"",NA,NA,NA,NA,NA,"","NestWatch Mobile App v1.2.5"
"A1339487","L8923031",45.448702,-75.466065,"CA-ON","on","ltrbra","",1,NA,"",0,"","","NestWatch Mobile App v1.2.5","obsr1303720","amerob","American Robin",2019,"","","",NA,NA,"",NA,"",NA,NA,NA,NA,NA,"","NestWatch Mobile App v1.2.5"
"A1352893","L9415032",41.543673,-71.063495,"US-MA","on","buildi","",NA,NA,"",NA,"ry","","/GOOGLE_MAP/ZOOM:18","obsr1386631","amerob","American Robin",2019,"","","",NA,0,"",NA,"2019-06-07",1,4,4,4,0,"s1","NestWatch Web 2.0.2"
"A1367437","L9808766",35.745186,-81.552055,"US-NC","on","buildi","",4.572,NA,"",NA,"for","for","/GOOGLE_MAP/ZOOM:20","obsr1431568","amerob","American Robin",2019,"","","2019-04-20",1,1,"2019-05-01",1,"2019-05-15",1,2,2,2,0,"s1","NestWatch Web 2.0.2"
"A1353410","L9432631",50.9000778,-114.0776138,"CA-AB","on","poptow","",NA,NA,"",0,"","","NestWatch Mobile App v1.3.2","obsr955817","amerob","American Robin",2019,"","","",NA,NA,"",NA,"",NA,NA,NA,NA,NA,"","NestWatch Mobile App v1.3.2"
"A1353309","L9426512",41.8608294,-72.7884221,"US-CT","in","ltrbra","",2.4384,NA,"",0,"","","NestWatch Mobile App v1.3.2","obsr827258","amerob","American Robin",2019,"","","2019-05-25",1,NA,"2019-06-05",1,"2019-06-17",1,4,4,4,0,"s1","NestWatch Mobile App v1.3.2"
"A1353466","L9436735",42.087467,-71.047384,"US-MA","on","buildi","",4.572,NA,"",53,"ry","ry","/GOOGLE_MAP/ZOOM:20","obsr420556","amerob","American Robin",2019,"","","",NA,NA,"",NA,"",NA,0,0,0,NA,"u3","NestWatch Web 2.0.2"
"A1352062","L9387360",41.03943,-83.684543,"US-OH","under","other","On top of pergola",2.4384,NA,"",239.8776,"ry","for","/GOOGLE_MAP/ZOOM:19","obsr1322722","amerob","American Robin",2019,"","","",NA,NA,"",NA,"",NA,NA,NA,NA,NA,"","NestWatch Web 2.0.2"
